,term,gene,term_short
4219,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",ECM2,EPITHELIAL MESENCHYMAL...
4220,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CRLF1,EPITHELIAL MESENCHYMAL...
4221,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",AREG,EPITHELIAL MESENCHYMAL...
4222,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",IL15,EPITHELIAL MESENCHYMAL...
4223,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",MCM7,EPITHELIAL MESENCHYMAL...
4224,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",GAS1,EPITHELIAL MESENCHYMAL...
4225,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",PRSS2,EPITHELIAL MESENCHYMAL...
4226,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CADM1,EPITHELIAL MESENCHYMAL...
4227,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",OXTR,EPITHELIAL MESENCHYMAL...
4228,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",SCG2,EPITHELIAL MESENCHYMAL...
4229,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CXCL6,EPITHELIAL MESENCHYMAL...
4230,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",MMP1,EPITHELIAL MESENCHYMAL...
4231,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",TNFAIP3,EPITHELIAL MESENCHYMAL...
4232,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CAPG,EPITHELIAL MESENCHYMAL...
4233,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CAP2,EPITHELIAL MESENCHYMAL...
4234,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",MXRA5,EPITHELIAL MESENCHYMAL...
4235,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",FOXC2,EPITHELIAL MESENCHYMAL...
4236,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",NTM,EPITHELIAL MESENCHYMAL...
4237,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",ENO2,EPITHELIAL MESENCHYMAL...
4238,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",FAS,EPITHELIAL MESENCHYMAL...
4239,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",BDNF,EPITHELIAL MESENCHYMAL...
4240,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",ADAM12,EPITHELIAL MESENCHYMAL...
4241,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",PVR,EPITHELIAL MESENCHYMAL...
4242,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",CXCL12,EPITHELIAL MESENCHYMAL...
4243,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",PDGFRB,EPITHELIAL MESENCHYMAL...
4244,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",SLIT2,EPITHELIAL MESENCHYMAL...
4245,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",NOTCH2,EPITHELIAL MESENCHYMAL...
4246,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",COLGALT1,EPITHELIAL MESENCHYMAL...
4247,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",GPX7,EPITHELIAL MESENCHYMAL...
4248,"HALLMARK EPITHELIAL MESENCHYMAL
 TRANSITION",WIPF1,EPITHELIAL MESENCHYMAL...
5256,"HALLMARK P53 PATHWAY
",CDKN1A,P53 PATHWAY
5257,"HALLMARK P53 PATHWAY
",BTG2,P53 PATHWAY
5258,"HALLMARK P53 PATHWAY
",MDM2,P53 PATHWAY
5259,"HALLMARK P53 PATHWAY
",CCNG1,P53 PATHWAY
5260,"HALLMARK P53 PATHWAY
",FAS,P53 PATHWAY
5261,"HALLMARK P53 PATHWAY
",TOB1,P53 PATHWAY
5262,"HALLMARK P53 PATHWAY
",GADD45A,P53 PATHWAY
5263,"HALLMARK P53 PATHWAY
",PHLDA3,P53 PATHWAY
5264,"HALLMARK P53 PATHWAY
",TAP1,P53 PATHWAY
5265,"HALLMARK P53 PATHWAY
",CDKN2B,P53 PATHWAY
5266,"HALLMARK P53 PATHWAY
",SFN,P53 PATHWAY
5267,"HALLMARK P53 PATHWAY
",ZMAT3,P53 PATHWAY
5268,"HALLMARK P53 PATHWAY
",DDB2,P53 PATHWAY
5269,"HALLMARK P53 PATHWAY
",EI24,P53 PATHWAY
5270,"HALLMARK P53 PATHWAY
",PERP,P53 PATHWAY
5271,"HALLMARK P53 PATHWAY
",DDIT4,P53 PATHWAY
5272,"HALLMARK P53 PATHWAY
",ATF3,P53 PATHWAY
5273,"HALLMARK P53 PATHWAY
",BAX,P53 PATHWAY
5274,"HALLMARK P53 PATHWAY
",SESN1,P53 PATHWAY
5275,"HALLMARK P53 PATHWAY
",FDXR,P53 PATHWAY
5276,"HALLMARK P53 PATHWAY
",PIDD1,P53 PATHWAY
5277,"HALLMARK P53 PATHWAY
",SAT1,P53 PATHWAY
5278,"HALLMARK P53 PATHWAY
",CDKN2A,P53 PATHWAY
5279,"HALLMARK P53 PATHWAY
",AEN,P53 PATHWAY
5280,"HALLMARK P53 PATHWAY
",PPM1D,P53 PATHWAY
5281,"HALLMARK P53 PATHWAY
",FOXO3,P53 PATHWAY
5282,"HALLMARK P53 PATHWAY
",BTG1,P53 PATHWAY
5283,"HALLMARK P53 PATHWAY
",TXNIP,P53 PATHWAY
5284,"HALLMARK P53 PATHWAY
",SLC19A2,P53 PATHWAY
5285,"HALLMARK P53 PATHWAY
",IER3,P53 PATHWAY
5286,"HALLMARK P53 PATHWAY
",TP53,P53 PATHWAY
5287,"HALLMARK P53 PATHWAY
",NOTCH1,P53 PATHWAY
5288,"HALLMARK P53 PATHWAY
",RRAD,P53 PATHWAY
5289,"HALLMARK P53 PATHWAY
",DCXR,P53 PATHWAY
5290,"HALLMARK P53 PATHWAY
",NINJ1,P53 PATHWAY
5291,"HALLMARK P53 PATHWAY
",FOS,P53 PATHWAY
5292,"HALLMARK P53 PATHWAY
",S100A10,P53 PATHWAY
5293,"HALLMARK P53 PATHWAY
",FBXW7,P53 PATHWAY
5294,"HALLMARK P53 PATHWAY
",PLK3,P53 PATHWAY
5295,"HALLMARK P53 PATHWAY
",XPC,P53 PATHWAY
5296,"HALLMARK P53 PATHWAY
",AK1,P53 PATHWAY
5297,"HALLMARK P53 PATHWAY
",TRIAP1,P53 PATHWAY
5298,"HALLMARK P53 PATHWAY
",BAK1,P53 PATHWAY
5299,"HALLMARK P53 PATHWAY
",CCND2,P53 PATHWAY
5300,"HALLMARK P53 PATHWAY
",APAF1,P53 PATHWAY
5301,"HALLMARK P53 PATHWAY
",PDGFA,P53 PATHWAY
5302,"HALLMARK P53 PATHWAY
",NDRG1,P53 PATHWAY
5303,"HALLMARK P53 PATHWAY
",RALGDS,P53 PATHWAY
5304,"HALLMARK P53 PATHWAY
",SERPINB5,P53 PATHWAY
5305,"HALLMARK P53 PATHWAY
",DGKA,P53 PATHWAY
5306,"HALLMARK P53 PATHWAY
",CYFIP2,P53 PATHWAY
5307,"HALLMARK P53 PATHWAY
",KLF4,P53 PATHWAY
5308,"HALLMARK P53 PATHWAY
",IP6K2,P53 PATHWAY
5309,"HALLMARK P53 PATHWAY
",ADA,P53 PATHWAY
5310,"HALLMARK P53 PATHWAY
",TNFSF9,P53 PATHWAY
5311,"HALLMARK P53 PATHWAY
",KLK8,P53 PATHWAY
5312,"HALLMARK P53 PATHWAY
",PRKAB1,P53 PATHWAY
5313,"HALLMARK P53 PATHWAY
",STOM,P53 PATHWAY
5314,"HALLMARK P53 PATHWAY
",SOCS1,P53 PATHWAY
5315,"HALLMARK P53 PATHWAY
",PLK2,P53 PATHWAY
5316,"HALLMARK P53 PATHWAY
",CASP1,P53 PATHWAY
5317,"HALLMARK P53 PATHWAY
",RCHY1,P53 PATHWAY
5318,"HALLMARK P53 PATHWAY
",PCNA,P53 PATHWAY
5319,"HALLMARK P53 PATHWAY
",RPS27L,P53 PATHWAY
5320,"HALLMARK P53 PATHWAY
",RB1,P53 PATHWAY
5321,"HALLMARK P53 PATHWAY
",PPP1R15A,P53 PATHWAY
5322,"HALLMARK P53 PATHWAY
",POLH,P53 PATHWAY
5323,"HALLMARK P53 PATHWAY
",RAB40C,P53 PATHWAY
5324,"HALLMARK P53 PATHWAY
",ERCC5,P53 PATHWAY
5325,"HALLMARK P53 PATHWAY
",CDH13,P53 PATHWAY
5326,"HALLMARK P53 PATHWAY
",DDIT3,P53 PATHWAY
5327,"HALLMARK P53 PATHWAY
",TGFB1,P53 PATHWAY
5328,"HALLMARK P53 PATHWAY
",FUCA1,P53 PATHWAY
5329,"HALLMARK P53 PATHWAY
",HIST3H2A,P53 PATHWAY
5330,"HALLMARK P53 PATHWAY
",TP63,P53 PATHWAY
5331,"HALLMARK P53 PATHWAY
",HSPA4L,P53 PATHWAY
5332,"HALLMARK P53 PATHWAY
",EPHX1,P53 PATHWAY
5333,"HALLMARK P53 PATHWAY
",ABHD4,P53 PATHWAY
5334,"HALLMARK P53 PATHWAY
",H2AFJ,P53 PATHWAY
5335,"HALLMARK P53 PATHWAY
",TRAF4,P53 PATHWAY
5336,"HALLMARK P53 PATHWAY
",CTSF,P53 PATHWAY
5337,"HALLMARK P53 PATHWAY
",IER5,P53 PATHWAY
5338,"HALLMARK P53 PATHWAY
",TAX1BP3,P53 PATHWAY
5339,"HALLMARK P53 PATHWAY
",TSC22D1,P53 PATHWAY
5340,"HALLMARK P53 PATHWAY
",RGS16,P53 PATHWAY
5341,"HALLMARK P53 PATHWAY
",HRAS,P53 PATHWAY
5342,"HALLMARK P53 PATHWAY
",PVT1,P53 PATHWAY
5343,"HALLMARK P53 PATHWAY
",ZFP36L1,P53 PATHWAY
5344,"HALLMARK P53 PATHWAY
",SDC1,P53 PATHWAY
5345,"HALLMARK P53 PATHWAY
",WRAP73,P53 PATHWAY
5346,"HALLMARK P53 PATHWAY
",RAP2B,P53 PATHWAY
5347,"HALLMARK P53 PATHWAY
",COQ8A,P53 PATHWAY
5348,"HALLMARK P53 PATHWAY
",PLXNB2,P53 PATHWAY
5349,"HALLMARK P53 PATHWAY
",HEXIM1,P53 PATHWAY
5350,"HALLMARK P53 PATHWAY
",PROCR,P53 PATHWAY
5351,"HALLMARK P53 PATHWAY
",SPHK1,P53 PATHWAY
5352,"HALLMARK P53 PATHWAY
",NOL8,P53 PATHWAY
5353,"HALLMARK P53 PATHWAY
",DEF6,P53 PATHWAY
5354,"HALLMARK P53 PATHWAY
",SP1,P53 PATHWAY
5355,"HALLMARK P53 PATHWAY
",JAG2,P53 PATHWAY
5356,"HALLMARK P53 PATHWAY
",CCP110,P53 PATHWAY
5357,"HALLMARK P53 PATHWAY
",DRAM1,P53 PATHWAY
5358,"HALLMARK P53 PATHWAY
",RPL18,P53 PATHWAY
5359,"HALLMARK P53 PATHWAY
",CEBPA,P53 PATHWAY
5360,"HALLMARK P53 PATHWAY
",KIF13B,P53 PATHWAY
5361,"HALLMARK P53 PATHWAY
",MXD1,P53 PATHWAY
5362,"HALLMARK P53 PATHWAY
",TRAFD1,P53 PATHWAY
5363,"HALLMARK P53 PATHWAY
",OSGIN1,P53 PATHWAY
5364,"HALLMARK P53 PATHWAY
",ANKRA2,P53 PATHWAY
5365,"HALLMARK P53 PATHWAY
",HBEGF,P53 PATHWAY
5366,"HALLMARK P53 PATHWAY
",RAD51C,P53 PATHWAY
5367,"HALLMARK P53 PATHWAY
",ITGB4,P53 PATHWAY
5368,"HALLMARK P53 PATHWAY
",TRIB3,P53 PATHWAY
5369,"HALLMARK P53 PATHWAY
",INHBB,P53 PATHWAY
5370,"HALLMARK P53 PATHWAY
",VAMP8,P53 PATHWAY
5371,"HALLMARK P53 PATHWAY
",VWA5A,P53 PATHWAY
5372,"HALLMARK P53 PATHWAY
",ABAT,P53 PATHWAY
5373,"HALLMARK P53 PATHWAY
",CTSD,P53 PATHWAY
5374,"HALLMARK P53 PATHWAY
",PTPRE,P53 PATHWAY
5375,"HALLMARK P53 PATHWAY
",HINT1,P53 PATHWAY
5376,"HALLMARK P53 PATHWAY
",ALOX15B,P53 PATHWAY
5377,"HALLMARK P53 PATHWAY
",VDR,P53 PATHWAY
5378,"HALLMARK P53 PATHWAY
",ELP1,P53 PATHWAY
5379,"HALLMARK P53 PATHWAY
",WWP1,P53 PATHWAY
5380,"HALLMARK P53 PATHWAY
",NUPR1,P53 PATHWAY
5381,"HALLMARK P53 PATHWAY
",TCN2,P53 PATHWAY
5382,"HALLMARK P53 PATHWAY
",CDKN2AIP,P53 PATHWAY
5383,"HALLMARK P53 PATHWAY
",POM121,P53 PATHWAY
5384,"HALLMARK P53 PATHWAY
",ZNF365,P53 PATHWAY
5385,"HALLMARK P53 PATHWAY
",EPHA2,P53 PATHWAY
5386,"HALLMARK P53 PATHWAY
",JUN,P53 PATHWAY
5387,"HALLMARK P53 PATHWAY
",MAPKAPK3,P53 PATHWAY
5388,"HALLMARK P53 PATHWAY
",SLC7A11,P53 PATHWAY
5389,"HALLMARK P53 PATHWAY
",SERTAD3,P53 PATHWAY
5390,"HALLMARK P53 PATHWAY
",IRAK1,P53 PATHWAY
5391,"HALLMARK P53 PATHWAY
",ABCC5,P53 PATHWAY
5392,"HALLMARK P53 PATHWAY
",UPP1,P53 PATHWAY
5393,"HALLMARK P53 PATHWAY
",CD81,P53 PATHWAY
5394,"HALLMARK P53 PATHWAY
",LIF,P53 PATHWAY
5395,"HALLMARK P53 PATHWAY
",RPL36,P53 PATHWAY
5396,"HALLMARK P53 PATHWAY
",FAM162A,P53 PATHWAY
5397,"HALLMARK P53 PATHWAY
",RNF19B,P53 PATHWAY
5398,"HALLMARK P53 PATHWAY
",CDK5R1,P53 PATHWAY
5399,"HALLMARK P53 PATHWAY
",STEAP3,P53 PATHWAY
5400,"HALLMARK P53 PATHWAY
",PITPNC1,P53 PATHWAY
5401,"HALLMARK P53 PATHWAY
",SLC35D1,P53 PATHWAY
5402,"HALLMARK P53 PATHWAY
",TPRKB,P53 PATHWAY
5403,"HALLMARK P53 PATHWAY
",RRP8,P53 PATHWAY
5404,"HALLMARK P53 PATHWAY
",IL1A,P53 PATHWAY
5405,"HALLMARK P53 PATHWAY
",PMM1,P53 PATHWAY
5406,"HALLMARK P53 PATHWAY
",TPD52L1,P53 PATHWAY
5407,"HALLMARK P53 PATHWAY
",IFI30,P53 PATHWAY
5408,"HALLMARK P53 PATHWAY
",GM2A,P53 PATHWAY
5409,"HALLMARK P53 PATHWAY
",RPS12,P53 PATHWAY
5410,"HALLMARK P53 PATHWAY
",EPS8L2,P53 PATHWAY
5411,"HALLMARK P53 PATHWAY
",TM4SF1,P53 PATHWAY
5412,"HALLMARK P53 PATHWAY
",BLCAP,P53 PATHWAY
5413,"HALLMARK P53 PATHWAY
",MKNK2,P53 PATHWAY
5414,"HALLMARK P53 PATHWAY
",CD82,P53 PATHWAY
5415,"HALLMARK P53 PATHWAY
",RACK1,P53 PATHWAY
5416,"HALLMARK P53 PATHWAY
",ST14,P53 PATHWAY
5417,"HALLMARK P53 PATHWAY
",TCHH,P53 PATHWAY
5418,"HALLMARK P53 PATHWAY
",HDAC3,P53 PATHWAY
5419,"HALLMARK P53 PATHWAY
",CCNK,P53 PATHWAY
5420,"HALLMARK P53 PATHWAY
",RHBDF2,P53 PATHWAY
5421,"HALLMARK P53 PATHWAY
",NUDT15,P53 PATHWAY
5422,"HALLMARK P53 PATHWAY
",TGFA,P53 PATHWAY
5423,"HALLMARK P53 PATHWAY
",ISCU,P53 PATHWAY
5424,"HALLMARK P53 PATHWAY
",LDHB,P53 PATHWAY
5425,"HALLMARK P53 PATHWAY
",TNNI1,P53 PATHWAY
5426,"HALLMARK P53 PATHWAY
",FGF13,P53 PATHWAY
5427,"HALLMARK P53 PATHWAY
",RXRA,P53 PATHWAY
5428,"HALLMARK P53 PATHWAY
",APP,P53 PATHWAY
5429,"HALLMARK P53 PATHWAY
",F2R,P53 PATHWAY
5430,"HALLMARK P53 PATHWAY
",CLCA2,P53 PATHWAY
5431,"HALLMARK P53 PATHWAY
",CGRRF1,P53 PATHWAY
5432,"HALLMARK P53 PATHWAY
",CSRNP2,P53 PATHWAY
5433,"HALLMARK P53 PATHWAY
",ACVR1B,P53 PATHWAY
5434,"HALLMARK P53 PATHWAY
",BMP2,P53 PATHWAY
5435,"HALLMARK P53 PATHWAY
",GPX2,P53 PATHWAY
5436,"HALLMARK P53 PATHWAY
",KRT17,P53 PATHWAY
5437,"HALLMARK P53 PATHWAY
",TM7SF3,P53 PATHWAY
5438,"HALLMARK P53 PATHWAY
",ZBTB16,P53 PATHWAY
5439,"HALLMARK P53 PATHWAY
",PTPN14,P53 PATHWAY
5440,"HALLMARK P53 PATHWAY
",TSPYL2,P53 PATHWAY
5441,"HALLMARK P53 PATHWAY
",SLC3A2,P53 PATHWAY
5442,"HALLMARK P53 PATHWAY
",S100A4,P53 PATHWAY
5443,"HALLMARK P53 PATHWAY
",GLS2,P53 PATHWAY
5444,"HALLMARK P53 PATHWAY
",CCND3,P53 PATHWAY
5445,"HALLMARK P53 PATHWAY
",PRMT2,P53 PATHWAY
5446,"HALLMARK P53 PATHWAY
",NHLH2,P53 PATHWAY
5447,"HALLMARK P53 PATHWAY
",BAIAP2,P53 PATHWAY
5448,"HALLMARK P53 PATHWAY
",RETSAT,P53 PATHWAY
5449,"HALLMARK P53 PATHWAY
",LRMP,P53 PATHWAY
5450,"HALLMARK P53 PATHWAY
",HIST1H1C,P53 PATHWAY
5451,"HALLMARK P53 PATHWAY
",DNTTIP2,P53 PATHWAY
5452,"HALLMARK P53 PATHWAY
",MXD4,P53 PATHWAY
5453,"HALLMARK P53 PATHWAY
",SEC61A1,P53 PATHWAY
5454,"HALLMARK P53 PATHWAY
",HMOX1,P53 PATHWAY
5455,"HALLMARK P53 PATHWAY
",RAD9A,P53 PATHWAY
5614,"HALLMARK UV RESPONSE
 DN",TJP1,UV RESPONSE DN
5615,"HALLMARK UV RESPONSE
 DN",NFIB,UV RESPONSE DN
5616,"HALLMARK UV RESPONSE
 DN",TGFBR3,UV RESPONSE DN
5617,"HALLMARK UV RESPONSE
 DN",TFPI,UV RESPONSE DN
5618,"HALLMARK UV RESPONSE
 DN",MMP16,UV RESPONSE DN
5619,"HALLMARK UV RESPONSE
 DN",ABCC1,UV RESPONSE DN
5620,"HALLMARK UV RESPONSE
 DN",MAP2K5,UV RESPONSE DN
5621,"HALLMARK UV RESPONSE
 DN",AGGF1,UV RESPONSE DN
5622,"HALLMARK UV RESPONSE
 DN",PLCB4,UV RESPONSE DN
5623,"HALLMARK UV RESPONSE
 DN",MET,UV RESPONSE DN
5624,"HALLMARK UV RESPONSE
 DN",IRS1,UV RESPONSE DN
5625,"HALLMARK UV RESPONSE
 DN",PTPRM,UV RESPONSE DN
5626,"HALLMARK UV RESPONSE
 DN",AKT3,UV RESPONSE DN
5627,"HALLMARK UV RESPONSE
 DN",SIPA1L1,UV RESPONSE DN
5628,"HALLMARK UV RESPONSE
 DN",NR1D2,UV RESPONSE DN
5629,"HALLMARK UV RESPONSE
 DN",ATRN,UV RESPONSE DN
5630,"HALLMARK UV RESPONSE
 DN",ANXA2,UV RESPONSE DN
5631,"HALLMARK UV RESPONSE
 DN",ADD3,UV RESPONSE DN
5632,"HALLMARK UV RESPONSE
 DN",CDKN1B,UV RESPONSE DN
5633,"HALLMARK UV RESPONSE
 DN",ATXN1,UV RESPONSE DN
5634,"HALLMARK UV RESPONSE
 DN",CAP2,UV RESPONSE DN
5635,"HALLMARK UV RESPONSE
 DN",PRDM2,UV RESPONSE DN
5636,"HALLMARK UV RESPONSE
 DN",TOGARAM1,UV RESPONSE DN
5637,"HALLMARK UV RESPONSE
 DN",SDC2,UV RESPONSE DN
5638,"HALLMARK UV RESPONSE
 DN",SMAD3,UV RESPONSE DN
5639,"HALLMARK UV RESPONSE
 DN",SLC7A1,UV RESPONSE DN
5640,"HALLMARK UV RESPONSE
 DN",GCNT1,UV RESPONSE DN
5641,"HALLMARK UV RESPONSE
 DN",RUNX1,UV RESPONSE DN
5642,"HALLMARK UV RESPONSE
 DN",RND3,UV RESPONSE DN
5643,"HALLMARK UV RESPONSE
 DN",PLPP3,UV RESPONSE DN
5644,"HALLMARK UV RESPONSE
 DN",NR3C1,UV RESPONSE DN
5645,"HALLMARK UV RESPONSE
 DN",YTHDC1,UV RESPONSE DN
5646,"HALLMARK UV RESPONSE
 DN",PPARG,UV RESPONSE DN
5647,"HALLMARK UV RESPONSE
 DN",ADGRL2,UV RESPONSE DN
5648,"HALLMARK UV RESPONSE
 DN",DLG1,UV RESPONSE DN
5649,"HALLMARK UV RESPONSE
 DN",ATP2B4,UV RESPONSE DN
5650,"HALLMARK UV RESPONSE
 DN",NIPBL,UV RESPONSE DN
5651,"HALLMARK UV RESPONSE
 DN",PEX14,UV RESPONSE DN
5652,"HALLMARK UV RESPONSE
 DN",MYC,UV RESPONSE DN
5653,"HALLMARK UV RESPONSE
 DN",RASA2,UV RESPONSE DN
5654,"HALLMARK UV RESPONSE
 DN",FZD2,UV RESPONSE DN
5655,"HALLMARK UV RESPONSE
 DN",BMPR1A,UV RESPONSE DN
5656,"HALLMARK UV RESPONSE
 DN",LPAR1,UV RESPONSE DN
5657,"HALLMARK UV RESPONSE
 DN",PRKCA,UV RESPONSE DN
5658,"HALLMARK UV RESPONSE
 DN",MGMT,UV RESPONSE DN
5659,"HALLMARK UV RESPONSE
 DN",PRKCE,UV RESPONSE DN
5660,"HALLMARK UV RESPONSE
 DN",RXRA,UV RESPONSE DN
5661,"HALLMARK UV RESPONSE
 DN",LTBP1,UV RESPONSE DN
5662,"HALLMARK UV RESPONSE
 DN",LDLR,UV RESPONSE DN
5663,"HALLMARK UV RESPONSE
 DN",RBPMS,UV RESPONSE DN
5664,"HALLMARK UV RESPONSE
 DN",CACNA1A,UV RESPONSE DN
5665,"HALLMARK UV RESPONSE
 DN",RGS4,UV RESPONSE DN
5666,"HALLMARK UV RESPONSE
 DN",COL5A2,UV RESPONSE DN
5667,"HALLMARK UV RESPONSE
 DN",AL162171.1,UV RESPONSE DN
5668,"HALLMARK UV RESPONSE
 DN",PRKAR2B,UV RESPONSE DN
5669,"HALLMARK UV RESPONSE
 DN",GJA1,UV RESPONSE DN
5670,"HALLMARK UV RESPONSE
 DN",BCKDHB,UV RESPONSE DN
5671,"HALLMARK UV RESPONSE
 DN",DMAC2L,UV RESPONSE DN
5672,"HALLMARK UV RESPONSE
 DN",SERPINE1,UV RESPONSE DN
5673,"HALLMARK UV RESPONSE
 DN",AMPH,UV RESPONSE DN
5674,"HALLMARK UV RESPONSE
 DN",MIOS,UV RESPONSE DN
5675,"HALLMARK UV RESPONSE
 DN",CITED2,UV RESPONSE DN
5676,"HALLMARK UV RESPONSE
 DN",COL1A2,UV RESPONSE DN
5677,"HALLMARK UV RESPONSE
 DN",INSIG1,UV RESPONSE DN
5678,"HALLMARK UV RESPONSE
 DN",FYN,UV RESPONSE DN
5679,"HALLMARK UV RESPONSE
 DN",WDR37,UV RESPONSE DN
5680,"HALLMARK UV RESPONSE
 DN",ZMIZ1,UV RESPONSE DN
5681,"HALLMARK UV RESPONSE
 DN",PMP22,UV RESPONSE DN
5682,"HALLMARK UV RESPONSE
 DN",CDON,UV RESPONSE DN
5683,"HALLMARK UV RESPONSE
 DN",PIK3R3,UV RESPONSE DN
5684,"HALLMARK UV RESPONSE
 DN",NOTCH2,UV RESPONSE DN
5685,"HALLMARK UV RESPONSE
 DN",SYNJ2,UV RESPONSE DN
5686,"HALLMARK UV RESPONSE
 DN",SMAD7,UV RESPONSE DN
5687,"HALLMARK UV RESPONSE
 DN",MAP1B,UV RESPONSE DN
5688,"HALLMARK UV RESPONSE
 DN",TENT4A,UV RESPONSE DN
5689,"HALLMARK UV RESPONSE
 DN",PTEN,UV RESPONSE DN
5690,"HALLMARK UV RESPONSE
 DN",DYRK1A,UV RESPONSE DN
5691,"HALLMARK UV RESPONSE
 DN",NEK7,UV RESPONSE DN
5692,"HALLMARK UV RESPONSE
 DN",SPOP,UV RESPONSE DN
5693,"HALLMARK UV RESPONSE
 DN",F3,UV RESPONSE DN
5694,"HALLMARK UV RESPONSE
 DN",ERBB2,UV RESPONSE DN
5695,"HALLMARK UV RESPONSE
 DN",GRK5,UV RESPONSE DN
5696,"HALLMARK UV RESPONSE
 DN",DUSP1,UV RESPONSE DN
5697,"HALLMARK UV RESPONSE
 DN",VLDLR,UV RESPONSE DN
5698,"HALLMARK UV RESPONSE
 DN",CAV1,UV RESPONSE DN
5699,"HALLMARK UV RESPONSE
 DN",COL11A1,UV RESPONSE DN
5700,"HALLMARK UV RESPONSE
 DN",CDC42BPA,UV RESPONSE DN
5701,"HALLMARK UV RESPONSE
 DN",CDK13,UV RESPONSE DN
5702,"HALLMARK UV RESPONSE
 DN",SFMBT1,UV RESPONSE DN
5703,"HALLMARK UV RESPONSE
 DN",ADORA2B,UV RESPONSE DN
5704,"HALLMARK UV RESPONSE
 DN",BHLHE40,UV RESPONSE DN
5705,"HALLMARK UV RESPONSE
 DN",COL3A1,UV RESPONSE DN
5706,"HALLMARK UV RESPONSE
 DN",KCNMA1,UV RESPONSE DN
5707,"HALLMARK UV RESPONSE
 DN",SYNE1,UV RESPONSE DN
5708,"HALLMARK UV RESPONSE
 DN",IGF1R,UV RESPONSE DN
5709,"HALLMARK UV RESPONSE
 DN",CELF2,UV RESPONSE DN
5710,"HALLMARK UV RESPONSE
 DN",MTA1,UV RESPONSE DN
5711,"HALLMARK UV RESPONSE
 DN",EFEMP1,UV RESPONSE DN
5712,"HALLMARK UV RESPONSE
 DN",LAMC1,UV RESPONSE DN
5713,"HALLMARK UV RESPONSE
 DN",PHF3,UV RESPONSE DN
5714,"HALLMARK UV RESPONSE
 DN",SCAF8,UV RESPONSE DN
5715,"HALLMARK UV RESPONSE
 DN",VAV2,UV RESPONSE DN
5716,"HALLMARK UV RESPONSE
 DN",PIAS3,UV RESPONSE DN
5717,"HALLMARK UV RESPONSE
 DN",ACVR2A,UV RESPONSE DN
5718,"HALLMARK UV RESPONSE
 DN",NRP1,UV RESPONSE DN
5719,"HALLMARK UV RESPONSE
 DN",MRPS31,UV RESPONSE DN
5720,"HALLMARK UV RESPONSE
 DN",CCN1,UV RESPONSE DN
5721,"HALLMARK UV RESPONSE
 DN",DAB2,UV RESPONSE DN
5722,"HALLMARK UV RESPONSE
 DN",MAGI2,UV RESPONSE DN
5723,"HALLMARK UV RESPONSE
 DN",ANXA4,UV RESPONSE DN
5724,"HALLMARK UV RESPONSE
 DN",COL1A1,UV RESPONSE DN
5725,"HALLMARK UV RESPONSE
 DN",SCHIP1,UV RESPONSE DN
5726,"HALLMARK UV RESPONSE
 DN",DDAH1,UV RESPONSE DN
5727,"HALLMARK UV RESPONSE
 DN",PDGFRB,UV RESPONSE DN
5728,"HALLMARK UV RESPONSE
 DN",ATRX,UV RESPONSE DN
5729,"HALLMARK UV RESPONSE
 DN",KALRN,UV RESPONSE DN
5730,"HALLMARK UV RESPONSE
 DN",TGFBR2,UV RESPONSE DN
5731,"HALLMARK UV RESPONSE
 DN",PTGFR,UV RESPONSE DN
5732,"HALLMARK UV RESPONSE
 DN",ATP2C1,UV RESPONSE DN
5733,"HALLMARK UV RESPONSE
 DN",ARHGEF9,UV RESPONSE DN
5734,"HALLMARK UV RESPONSE
 DN",NFKB1,UV RESPONSE DN
